"codigo";"nome";"duracao";"genero";"imagem"
1125;"Interstellar";169;"Mystery/Science fiction";"Interstellar.jpg"
1315;"Star Wars V - O Império Contra-Ataca";127;"Sci-Fi";"Star Wars V.jpg"
1416;"Malévola";157;"Fantasy/Action";"Malevola.jpg"
1666;"Um Instante de Amor";121;"Drama";"Um Instante de Amor.jpg"
3632;"Um Tio Quase Perfeito";155;"Comédia";"Um Tio Quase Perfeito.jpg"
5667;"Meu Malvado Favorito 3";96;"Animação, Aventura, Comédia";"Meu Malvado favorito 3.jpg"
6444;"Piratas do Caribe - A Vingança de Salazar";153;"Aventura, Fantasia, Ação";"Piratas do Caribe - A Vingança de Salazar.jpg"
6543;"Mulher-Maravilha";141;"Ação, Aventura, Fantasia";"mulher-maravilha.jpg"
7654;"Baywatch";117;"Comédia , Ação, Aventura";"Baywatch.jpg"
8765;"A Múmia";111;"Fantasia, Aventura, Terror";"a mumia.jpg"
76543;"Ao Cair da Noite";157;"Terror, Suspense";"Ao Cair Da Noite.jpg"
